Omitted_ID,Beta,SE,CI_low,CI_high,t,df,p,Delta_beta,Deletion_DFBETA,Absolute_DFBETA,Percent_change,CI_excludes_zero,Above_DFBETA_threshold
103,-0.4129171581704522,0.157748314004761,-0.7241564612939368,-0.10167785504696752,-2.617569390681348,183,0.00959694322035048,-0.0029579144331045026,0.01873155826319368,0.01873155826319368,-0.7215142671595853,True,False
104,-0.4159706531128604,0.16062159275115112,-0.7328789694384703,-0.09906233678725052,-2.589755499170763,183,0.010377389441213634,-0.0060114093755127,0.038068398362403416,0.038068398362403416,-1.4663431712651132,True,False
105,-0.3860553832963772,0.1520675500211719,-0.686086471393184,-0.08602429519957033,-2.5387098249602094,183,0.011959134509196721,0.023903860440970537,-0.15137576312352746,0.15137576312352746,5.830789476303464,True,True
106,-0.4098095992968089,0.15854058517815428,-0.7226120628854147,-0.09700713570820307,-2.5848876414597566,183,0.010519690282154305,0.00014964444053883197,-0.0009476520095864184,0.0009476520095864184,0.03650227256119782,True,False
107,-0.4185313134237364,0.15769890978958648,-0.729673141442024,-0.10738948540544879,-2.653989897470894,183,0.008654894802870811,-0.008572069686388684,0.0542842690003782,0.0542842690003782,-2.090956556618255,True,False
108,-0.4132211697915379,0.1575570867803791,-0.7240831793228194,-0.10235916026025638,-2.6226758709212,183,0.009459529443194609,-0.0032619260541901784,0.02065676993575632,0.02065676993575632,-0.7956708146042015,True,False
109,-0.4102248770999757,0.1578930741835166,-0.721749793780982,-0.09869996041896939,-2.598118246929424,183,0.010136950745158923,-0.00026563336262797055,0.0016821740186350055,0.0016821740186350055,-0.06479506601835676,True,False
110,-0.4077861141115487,0.1580570523608353,-0.7196345616902264,-0.09593766653287089,-2.57999316082775,183,0.010664531339624807,0.0021731296257990196,-0.013761758536200522,0.013761758536200522,0.5300843093542484,True,False
111,-0.40557525602464156,0.160610397090903,-0.7224614831791841,-0.088689028870099,-2.5252117133804997,183,0.012411923354809147,0.00438398771270615,-0.02776243976046727,0.02776243976046727,1.0693715972202542,True,False
112,-0.411726206204549,0.1598484193876735,-0.7271090422715543,-0.09634337013754363,-2.575728979878163,183,0.010792174755221507,-0.0017669624672012607,0.011189627405319714,0.011189627405319714,-0.4310093001179689,True,False
113,-0.4058862519091554,0.15803036425899541,-0.7176820435449108,-0.09409046027339996,-2.5684067350749746,183,0.011014555199250061,0.004072991828192318,-0.02579299890538812,0.02579299890538812,0.9935114015386853,True,False
114,-0.42618623223871366,0.15384256473404465,-0.7297194455135543,-0.1226530189638731,-2.7702751379339206,183,0.0061787307224843244,-0.016226988501365947,0.10276050488400704,0.10276050488400704,-3.9581955399845157,True,False
115,-0.4225613542817987,0.1734872371403098,-0.7648537402830786,-0.08026896828051877,-2.4356913006807948,183,0.015821807161674552,-0.012602110544450984,0.07980527268154791,0.07980527268154791,-3.073991070323296,True,False
